timestamp,armed,flight_mode,altitude_m,ground_speed_ms,battery_voltage_v,pitch_deg,roll_deg,yaw_deg,lat,lon,packets_rx,packet_loss_pct
1790032670.92,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,437,0.0
1790032670.96,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,441,0.0
1790032671.01,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,444,0.0
1790032671.06,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,447,0.0
1790032671.1,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,450,0.0
1790032671.15,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,453,0.0
1790032671.2,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,456,0.0
1790032671.26,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,460,0.0
1790032671.3,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,463,0.0
1790032671.35,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,466,0.0
1790032671.39,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,469,0.0
1790032671.44,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,472,0.0
1790032671.48,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,475,0.0
1790032671.53,0,GUIDED,0.0,0.0,12.37,0.0,0.0,0.0,33.92,-118.4,478,0.0
1790032671.57,0,GUIDED,0.0,0.0,12.36,0.0,0.0,0.0,33.92,-118.4,481,0.0
1790032671.62,0,GUIDED,0.0,0.0,12.36,0.0,0.0,0.0,33.92,-118.4,484,0.0
1790032671.67,0,GUIDED,0.0,0.0,12.36,0.0,0.0,0.0,33.92,-118.4,487,0.0
